,kappa,theta,sigma,rho,v0,error
2024-02-02,4.920742144152494,0.010000000000000018,5.0,-0.9392323312617713,0.21904004845345176,0.02305450014815197
2024-02-05,10.0,0.01,4.502479620296423,-0.8874707492521459,0.13391128786006765,0.010949324236057047
2024-02-07,8.8540108990931,0.01,5.0,-0.9062919118049464,0.18590999122963445,0.014884945993180606
2024-02-09,9.364489337958103,0.010000000000000299,5.0,-0.9199734021909943,0.19413095257484198,0.01797611717327289
2024-02-12,9.999999999999998,0.01,2.002065273726157,-0.8003616760750859,0.07421962255977484,0.013473319872335129
2024-02-14,7.838286751238149,0.010000000000000007,5.0,-0.9159951777932253,0.1941765935075276,0.012900672392315281
2024-02-16,9.999999999999998,0.07693094006920427,3.477535686305071,-0.8468002626997944,0.033085342533297986,0.01160409972773018
2024-02-21,9.999999999999996,0.01,3.3198848665544323,-0.889577713531588,0.13768183958444644,0.021996984087277863
2024-02-23,10.0,0.030280581211453075,2.8032742840573386,-0.8374089160308275,0.06275387120776552,0.015462362567894825
2024-02-26,10.0,0.0365932273826391,2.740361979128501,-0.7913253204997416,0.044319546473657566,0.009789942529516336
2024-02-28,10.0,0.010000000000000005,2.884399273479024,-0.8620087930138117,0.09548643088036642,0.01619464891618781
2024-03-01,9.722837859788434,0.01,5.0,-0.9187061398990032,0.19446938873616806,0.04754348901528825
2024-03-04,10.0,0.0274629524346999,3.1278444749649426,-0.8834226543671755,0.08913476440025485,0.021285059796314253
2024-03-06,10.0,0.06128339458928232,3.5396443274045324,-0.8512331196107302,0.06102629107110195,0.009189823559539179
2024-03-08,10.0,0.05077361049936614,1.7683282991648657,-0.7910836237605049,0.017462313242519456,0.013684990006673694
2024-03-11,10.0,0.09442353982701517,4.662919220731063,-0.8896223276873574,0.0947966714172823,0.01268060197382895
2024-03-13,10.0,0.023421183588857305,2.9718447020938696,-0.8386847278535334,0.07671800392825844,0.009655792825950311
2024-03-15,10.0,0.06965592588533945,4.008561613577089,-0.8689791308312356,0.07095786857828881,0.008171017014256004
2024-03-18,10.0,0.08631615185482709,3.983776459015641,-0.8660321343317202,0.056000074742083336,0.00955846288553503
2024-03-20,0.1,0.010000000000010582,4.999999999999955,-0.958832708749942,0.172321183782402,0.048787434106091446
2024-03-22,9.999999999999998,0.014770766132392936,2.913803075540264,-0.8460010167955745,0.07630611468134181,0.01091236600239016
2024-03-25,10.0,0.10295265141669553,4.745130502840836,-0.8926416401733365,0.06009858472492206,0.014505728215637318
2024-03-27,10.0,0.01000000000000031,4.04006472142769,-0.8992949278794516,0.13897822569696147,0.014017053889054462
2024-04-01,10.0,0.03335456484483611,2.698021312857263,-0.8501532607197946,0.05204998566393007,0.009597558662903438
2024-04-03,10.0,0.01,4.400555003381452,-0.9059601202380603,0.161241613039071,0.011417593726650792
2024-04-05,8.26321143634865,0.01,5.0,-0.9148959428947981,0.21929834317039862,0.00796483299804277
2024-04-08,10.0,0.09212420651252085,4.642869201906957,-0.8882165703051633,0.08360855544293003,0.007479674697618127
2024-04-10,10.0,0.07992031616791714,4.137695936164513,-0.8675701886206209,0.07721843790872088,0.004777983868701929
2024-04-12,10.0,0.05190647397806448,1.871259540717584,-0.8185955849414138,0.02901161979435951,0.005242739867611318
2024-04-15,2.922250096514843,0.08039773466627877,0.15747906214885685,-0.5795453086063866,0.001,0.007691209891789856
2024-04-17,4.510868923722807,0.11731845985411102,1.2374136214193387,-0.7667451909081082,0.0023493043718941045,0.0015788657615060171
2024-04-19,10.0,0.06393412762804251,1.6143883571802633,-0.7703920779923271,0.016319011793716226,0.0031092717915444114
2024-04-22,10.0,0.016292613134212854,2.7352929821513814,-0.8824199033483822,0.12491884968286428,0.01629678731963527
2024-04-24,3.753765890118012,0.1650300079917122,2.1305606164569686,-0.8092086708177444,0.012245235414301737,0.004119431086413139
2024-04-26,10.0,0.02062042339132873,4.508636266671933,-0.8968583259877619,0.16749645033126223,0.007152848828617318
2024-04-29,10.0,0.08140021572883134,4.292528197550554,-0.8839642868411528,0.08515010412110038,0.007948998045355581
2024-05-01,10.0,0.04007334521049842,2.248898922532349,-0.8501097609637925,0.06223998295881869,0.012177093646423554
2024-05-03,10.0,0.08097341722719904,4.261404804722732,-0.8817862117741263,0.07357869932787951,0.009928663943340812
2024-05-06,10.0,0.024100865584012424,4.569601664504677,-0.9103794498112386,0.16236164872695602,0.01410368854503346
2024-05-08,10.0,0.08395016414192004,4.237810298987815,-0.9028436014682728,0.0796013175835791,0.014426310103219733
2024-05-10,10.0,0.08500374993416342,3.5978003789157342,-0.8724439778193277,0.026521307854904613,0.010604854022220923
2024-05-13,10.0,0.05340541785154648,2.875324210543804,-0.8528536695848719,0.04228341694099491,0.010020983587494592
2024-05-15,0.1,0.010000000000002285,5.0,-0.9563626746169712,0.145493530480743,0.029692249003105214
2024-05-17,10.0,0.014942428382430747,3.208749087997258,-0.8908536763658583,0.09527777053851402,0.015518490249466476
2024-05-20,10.0,0.025590535881566505,3.430508743949607,-0.9000171012037883,0.09402352081808896,0.017126313762461445
2024-05-22,10.0,0.12366971259647963,4.488790112791203,-0.9021729410450625,0.001454888019451543,0.012423744122091518
2024-05-24,0.10000000000001424,0.01,5.0,-0.9673064840165894,0.12599955227885667,0.015693590066887995
2024-05-29,9.999999999999998,0.043629370136559195,3.034584098432703,-0.8959189382221635,0.05888801846677673,0.009558717429928237
2024-05-31,10.0,0.010000000000000717,4.1538909948961384,-0.9353108402141421,0.15721421319557774,0.016590392501263204
2024-06-03,0.8477195485661386,0.017493388722207046,5.0,-0.9223836099888272,0.10977225773080553,0.007014371756333333
2024-06-05,10.0,0.010000000000000023,4.06344282636208,-0.9187499701645232,0.14980135972034683,0.01320495706863576
2024-06-07,10.0,0.031289284957980744,2.299400449503808,-0.8709426723038044,0.04507569032547128,0.014456918990137832
2024-06-10,10.0,0.030574108299278997,3.1647521551872577,-0.9073287447733148,0.08597333851828301,0.018532779143742892
2024-06-12,2.073575004795866,0.11827282376056089,5.0,-0.8235078018658649,0.06960080959603268,0.002039680310610677
2024-06-14,10.0,0.01672971333081709,2.567128648035288,-0.8919778128654531,0.07426415796770262,0.01784694876282269
2024-06-17,0.1,0.010539283461493971,5.0,-0.9261681709204763,0.14888718336997137,0.004773502608609873
2024-06-21,10.0,0.0713507132323603,3.6983627858988677,-0.8724218547851472,0.04049028625523967,0.009169628482560914
2024-06-24,10.0,0.06430997336925148,2.5867771356795917,-0.850197277432845,0.02008640970698948,0.009743778792605115
2024-06-26,10.0,0.07840256508849525,4.584045023679782,-0.8933831340882128,0.062150834990017466,0.009625646193400299
2024-06-28,10.0,0.0360343217688935,2.335029849891408,-0.8312471988172103,0.026168200709418485,0.005797261579168498
2024-07-01,10.0,0.02767526760864612,2.59401439440431,-0.8750570519640892,0.04930673480375277,0.00835703237549645
2024-07-03,0.10000000000000014,0.019839098299019406,5.0,-0.9110046179424595,0.11925276558830278,0.0022898485721473496
2024-07-05,10.0,0.01,3.8214115011506244,-0.9052688991601999,0.1193800312218991,0.01208230668296549
2024-07-08,10.0,0.06013580827932025,3.7433638919715944,-0.880451219156738,0.05087419449585176,0.010452340760718846
2024-07-10,10.0,0.01000000000000002,4.01356820012808,-0.9128636330752327,0.14660247228474743,0.015498600458793012
2024-07-12,10.0,0.03383384740183158,4.169444055247771,-0.8935362222738438,0.09904077571056442,0.01299504044884154
2024-07-15,10.0,0.09120484035819011,3.2880479803484484,-0.8579678403696104,0.015415031723568881,0.012505155251300124
2024-07-17,10.0,0.06730321208787034,2.7977124548996617,-0.796103856339253,0.012548871539615626,0.004595739970551233
2024-07-19,1.259089706466299,0.3276957657042706,1.1929087880285945,-0.7907645668345126,0.0019649844197716865,0.004491762981332121
2024-07-22,10.0,0.09581688835160411,4.781978380104461,-0.8928030003186892,0.08271233265808828,0.008806532522690428
2024-07-24,1.622024433271108,0.1709150694820719,0.6876214643031983,-0.5919428714241515,0.0010165263050796749,2.209743512392408e-06
2024-07-26,10.0,0.03288706362050198,2.7451735596750906,-0.8751918860936606,0.09575254389984292,0.012041157456414429
2024-07-29,10.0,0.06713445180672284,2.0167845123566015,-0.829658863468598,0.029192054496199177,0.009362600893789184
2024-08-12,2.8440273824526168,0.9155882338465753,5.0,-0.9116684182044844,0.025585327518684545,0.0045296781261395715
2024-08-14,10.0,0.09609987735770824,4.684296369736953,-0.899486959218648,0.07774976127956008,0.0044473027439491004
2024-08-16,10.0,0.033131604690924604,4.753721177162981,-0.9039332911531541,0.14328063527133764,0.006821261024466913
2024-08-19,9.635170309796852,0.010000000000000007,5.0,-0.9191325059493318,0.18691769087410512,0.009592619801861489
